item_id,category,price,quality_score,popularity,brand_tier,seasonality,features
109,Movies,8.72,4.12,0.166,Budget,None,"[-0.05180496848515553, -0.06187197781601401, 1.4006060613377602, 0.1451115891314797, 1.247410912638388, -0.1631419339967372, 0.8404626128145807, -0.6249901849635132, -0.03219850593164111, -0.7495462387472462, -1.655066114509862, -2.00233592044532, 1.0139076142251375, 0.38533284097205317, 0.2756585083853015, 0.1683569342791456, -0.5474349688316263, 0.7943336930664122, -1.7392772792106181, -2.084092894348606]"
110,Movies,6.04,2.91,0.316,Standard,None,"[0.5906651931206637, 0.978623500357145, 0.2866876798546493, -0.5820787431340788, 0.7794590007070491, 0.5298261436171223, 2.8678474044013758, 1.6405988963066536, 0.21751838501130247, 1.9323757718173291, 1.427579605654641, 0.7834414206285975, -1.691230577485098, 0.10979208076986335, 0.24632559780962074, 0.21557115552677014, -0.10980746717232684, 0.6460499129015056, 0.779155846741999, -1.6721712877479982]"
111,Music,28.64,4.07,0.383,Budget,Winter,"[-0.7217637568775072, -0.24639383581515323, 1.4080416167044494, 1.1279723092917966, -0.7782118603923054, 2.6557618989188954, 0.9845415159449397, 0.08276868126473787, -0.43181146385621516, -1.1087872336885805, -0.5582277293447465, -1.0865082815938811, 0.9124661401841356, -0.25514028459434596, 0.5216517809784946, 1.2603018858761157, 0.21217889526923814, 1.1770748640674433, -0.3505591169225848, 0.38645587974014606]"
112,Movies,9.07,3.08,0.159,Budget,Summer,"[-2.289227264184065, 0.9982391058303398, 1.2567705974733345, -0.2980841033181589, -0.5168826360841203, -1.1361742365255116, 1.8046590035414074, -0.08416759665911136, -0.14360161433714919, 0.49222845504796187, 0.5182585984333133, -0.06542828162620223, 0.34677090290089946, 0.8267443031062924, -0.7987863651708964, 0.9332205155802827, -0.6113656473643301, 1.4390803611260128, 0.1662437949792915, 0.0641017720484653]"
113,Clothing,1.85,2.74,0.097,Standard,None,"[-0.7149824581336299, -0.7677174533650679, 1.8770902664815654, -0.11020375041304147, 0.8668527291319673, 0.6590151193944407, 0.2917958352904468, 0.17273114441871537, -0.19086241891459327, -0.2093467406437861, -1.7478641522190184, 0.7337492991750596, 0.2665261400100278, 1.2003741922691136, -0.5545629098125909, 1.2603697010086659, -0.19182166090808067, -0.5731602200293155, 1.5454446223581857, 0.3638928804138249]"
114,Home & Garden,78.58,4.01,0.293,Standard,None,"[0.9811478261603003, 1.5353337166385135, -0.8635683597098927, 1.2178132559979011, 0.1563251439554436, 1.3782298466701495, 1.0532871339523997, 0.9062811201760208, -0.3118270528745533, -0.32760752609211174, 0.3459436679800666, -0.1300708412835327, 0.8893179073293531, 0.8301176644952266, 0.5913413211727055, -2.5259612817693786, 0.12798836367726404, -0.10885388073270116, 0.16802560175953143, -0.7543246385464069]"
115,Music,1.96,2.85,0.56,Premium,Summer,"[0.2447127295842538, -0.5296938357849674, 1.1145521953192292, 0.20374877815296438, -0.45452015463420314, 0.7881305417398337, -0.776046162598398, -0.05944265715458939, 1.6858592313369318, -1.0490761747878792, 0.2947642919753743, 0.4071193004341585, 1.2226392519289684, 0.12487765845756654, 0.40797754491856025, 1.1820987446652833, -0.7770637030293992, 0.7912055498528333, -1.3939690411814238, 0.06419383845683735]"
116,Sports,14.57,3.32,0.191,Standard,None,"[-0.12324193885113374, -0.40151313290290563, -1.5758885285575106, -1.0943038805934107, 2.435188074931068, -0.657796769596215, 1.2833859762413429, -1.170679283503695, 1.0182204292344588, -0.4330493147383709, 1.3075338803175378, 0.5056310512531128, 0.19250493701867427, 0.6644002490290501, 1.2266538650824201, -0.05080359788240608, -1.876997526507554, 1.2000455531706102, -0.27124473751674977, 2.559899259768538]"
117,Books,3.24,3.24,0.369,Premium,None,"[-1.675694169037181, 2.388244580440285, -0.8704506655280669, 0.573723898173715, 1.1811417914446827, 0.4682849091599702, 1.2832979266578857, -0.4534818448731002, -1.1987093067230026, -0.16177799434610654, -0.6140421230522365, -0.4934330639904791, -2.2218207056998422, 0.17562395264908287, 0.021507361785099672, 0.8430719543469527, 0.5530975887870563, -0.1753432749643035, 0.9128521115773586, 0.8866433596329234]"
118,Home & Garden,9.08,3.58,0.419,Budget,Winter,"[2.783235142247329, -1.9767240766805607, -2.0747358221225483, 4.739682135421516, 2.123990440317852, 0.14401170666942645, 0.4341420240093177, 0.250921497770598, -1.7706561716636915, 1.4588275466785003, 1.3278599275082155, -1.2310930592657698, 0.32568309383772637, -0.07341422739246924, -0.21115898007514328, -0.6790973635694569, -0.1123231172015702, -0.5268458339016268, 1.0642412951735265, -0.02764129760354811]"
119,Clothing,5.55,2.9,0.371,Standard,Winter,"[-0.2925143233104326, 0.07239206350463563, 1.4960526387386448, 0.8316997869938748, -0.27174590906430074, 0.20163729403163613, -1.1272419983878157, -0.05767070718455416, 0.17525230741489964, 0.5343136232107373, 0.33778090556006785, -0.33354386048678947, 0.28472363708625087, 0.9807123521208977, -1.4840974094111163, -0.16547595378243868, 0.20872230751046214, -0.9222632343673158, 0.9297168572814034, 0.5995007859831479]"
120,Books,16.04,4.05,0.189,Standard,Summer,"[0.6270286659192188, 2.950241651717097, -0.3457039056270759, -0.05801509439393041, -0.4533646542708436, 2.465927331461365, 0.2532424223641424, -0.5348579055061975, -1.6515397134301908, 1.9737334427358522, -0.16327838522830335, 0.7442291195615972, 0.8559972903065459, -0.46283052343037057, 0.672452775386156, -0.6041382867516175, -0.9904263620394158, 1.1644646925122124, -0.15818937982219936, 0.5185128336026553]"
121,Clothing,16.72,4.25,0.12,Standard,Holiday,"[-1.843338406164519, 0.594398643021074, 1.9556454559074283, 0.3079015711101162, 0.4379985914318535, 2.4303034135313, -0.9101834013152008, 0.15997449025200933, 1.2274452091146126, 0.8266766012202299, 0.6774457870721661, 3.011320603545262, 1.0879084936474215, -0.6247672093089672, -0.7395688800794822, -0.03833347218847708, -0.4362313299493104, 0.07934076276584918, 0.3379981206959357, 0.2733834335705564]"
122,Home & Garden,1.27,2.46,0.056,Budget,Holiday,"[-0.08914911430899343, 0.04651184487552195, -0.5393916009977798, 0.42345857585385316, -0.3064391453211406, -1.0450752794538558, 0.4280084431744235, 0.9282739564631063, -0.7120761143159859, 0.19466415576976603, -0.0156104383649328, -0.7369887848484384, -2.2776153067105995, -1.0246334053135078, -0.7761001409940655, 0.14329830627949172, 0.24319024267749126, 1.2415385498218194, -1.0333799100428895, -0.8198424184528124]"
123,Health,6.98,3.19,0.06,Standard,Holiday,"[0.46954955242779745, -1.0290526887739952, -0.8277914164666149, 0.9684744231672682, 0.7522414078026203, -1.372971581558587, -0.4076569684631906, 0.6799595493962023, 3.1123989832626435, 0.5144274550226803, -0.456328052935109, 0.23600303128039798, -0.21077580124689055, 0.38199517290346824, 1.478094818837572, -0.7822335176443129, 0.2809920106994006, -0.09673323116985713, -0.2628139166595011, -0.1398350364938078]"
124,Home & Garden,54.97,4.26,0.409,Budget,None,"[-2.304626667575456, 0.3727922767783118, -0.9755514636113722, 2.905059914461316, 0.8723700193691489, -0.4312409632790984, 2.6488900151902666, -1.1178078255284012, -1.3463842468827558, -0.47423403267471326, 0.19029185801362772, -1.6132451561577659, 0.6192539202318791, 2.460293517850871, -1.393011018683233, 0.19641684475007193, 0.9579525564001934, 0.7656819141880253, 2.158405820278003, -0.4693757875065995]"
125,Movies,53.84,3.56,0.275,Budget,None,"[-1.821350209142141, 0.03701437749614225, -0.4271105487326319, 0.3430485306940432, 0.4661471304949542, -0.7651346671096204, 2.426367818973557, 1.191720302401696, 0.7058941961045526, 0.932375241647187, 0.17192084890744544, -0.9361504460748792, -0.8096444597036451, 0.31988796785441165, 0.9427637251523103, 2.7859119139940556, 0.9818219444386037, -1.170435757497502, -0.7672725723599824, 2.2785173159559986]"
126,Health,10.73,3.48,0.11,Budget,Summer,"[-0.4454776048757492, 0.12863934918253633, 1.4162719054838573, 0.11767139777915904, -1.7955488116015894, -1.1544608213292546, 0.700021126658976, -0.325357506564048, 1.6062594770191199, -0.9644651934129669, -0.400255631286832, -0.3854110127267372, 0.49059785679575, -0.24463353168329247, 1.276501003867682, -0.6549497038036312, 0.20443210987133015, -1.6557700604523522, 0.6589859917785875, -1.4207855584822322]"
127,Music,13.07,3.28,0.163,Premium,Winter,"[0.8584588426390306, -0.08333147487540847, -1.6807878975523232, 0.6219809940211398, -1.334828583078318, 2.205519072883714, -0.4545017008435902, 2.401070328237232, -0.12088687171277415, 0.3509995917697252, 0.55396892568194, 0.33762153050386134, -0.02668113383841335, -0.9905749882082076, -0.11180928233577364, -1.8658857479785826, 0.4875580051653644, 2.9204904044206113, 0.17669053423017642, 0.33950801348700793]"
128,Sports,3.91,3.62,0.205,Standard,None,"[0.5761069193999334, 0.3790678965044464, 0.9205975741760815, 0.2435408252130967, 3.396643387559145, -0.5341713413477687, -1.2348774776631997, 0.7946870472074414, -0.1129986323917323, -0.8377864907783265, 1.7084177810813173, 0.7468830686662391, 0.6511483113053187, 1.5932765056743545, -0.3870870333443783, 1.413448735616474, 0.4185108467888582, -0.5896468418972118, -0.006992250503863821, 0.1865844744793248]"
129,Travel,89.93,4.8,0.048,Standard,None,"[-0.32185213791070033, 0.9969574815226198, -0.5046045954849743, -0.702063562355312, 1.5027276807992853, -1.4758710971014117, 0.19087993591870805, -0.131120463249672, -0.34322606870467587, 2.3535139844484254, 0.18955986050867568, 0.45740074279174425, 0.13897565236328388, 0.41768140501724765, 0.09336519293159469, -0.6594268872163145, 0.004001260236595398, -0.71438655970402, -0.7803766047308504, -0.3361500027177518]"
130,Health,11.8,3.08,0.119,Standard,None,"[0.15747618156846047, -0.5663535146982874, 1.2119007738552743, 0.4293703838779519, 0.19477506312598405, -0.4270081213053452, 0.015844667710381854, -0.7109180858429943, 2.9456748479512123, 1.1178638135667762, -0.6504995329525819, -1.6404683377175975, -0.327848947320744, 1.9884564785060925, 0.23195577160638428, 1.1534562056465654, -0.9278065628530685, -0.48620541321176236, -0.31072469145325554, -1.1710978188487304]"
131,Home & Garden,17.46,5.0,0.277,Premium,None,"[-1.96725566380081, -0.8767522314712319, 0.9188046467023571, 0.30341745995740643, 0.47787893609605137, 0.7975103068781241, -0.21855833833841642, 0.05237283972499601, 1.1634949996973813, -0.7048515107240569, -0.601652428889124, -0.49548368109930824, 1.1653255992232814, 1.2922937468847076, -1.395890234463619, 1.0062407473116368, 0.818908306347284, 1.5535948104498276, 0.3851080321263795, -0.04426012027857669]"
132,Sports,58.06,5.0,0.468,Standard,None,"[-0.5809171771941184, 0.23296475174492035, 0.8004798391920516, -0.21690649479446159, 2.230957451055448, 0.21439164828688503, 0.8443495872916004, 0.08947552186419196, -0.31472630753852054, 0.7989403953983882, 0.15855818572933547, -2.135556828532329, -0.35028653939402, -0.5171712769561332, 0.14745924039754665, 0.039990647464107375, -1.9503589928936267, -1.4917216884536304, -0.9528604968058533, 0.06445508322799433]"
133,Music,21.62,3.96,0.274,Standard,Summer,"[-0.9313989990059521, 0.6288138283327617, -0.04950464606506815, 0.8747546767096062, -0.3226077728016462, 2.2823777511995154, -0.9162930470045603, 1.0394413922305916, 0.29060469726179183, 1.9825130636978765, 2.392298383669758, 0.7633194514331476, 0.06842531120790343, -0.9460645121255687, 0.9047498032588243, 0.21028456389522832, 0.5380348391544619, 1.7297873874562433, -0.8244232886633468, -0.9243041684813366]"
134,Food,7.0,3.28,0.127,Budget,None,"[0.44411139062458477, -0.1727817895593738, -0.19798436940665895, -0.3998732723643757, -0.764678672016201, 1.2363874376588089, -0.5019170973830267, 2.6110468728321856, -0.8371229071130291, 0.04587648007672718, -0.0008053586669072449, -0.8290804628397985, -0.34673924119512634, -1.0685741929909311, 0.01676627742101143, -1.7605683819687592, -0.05776470935555866, 0.6509350032530206, -0.01296088428890537, -0.7002051861393083]"
135,Travel,15.44,3.86,0.496,Premium,None,"[0.40030609315481963, 1.2510329684557555, -1.1729056357417236, -1.3099830361559428, 1.5209347285857213, -0.6331322097304, 0.19743114156823624, 0.2950445672486496, -0.7873156222315935, 1.213749048814626, 1.126909684703219, 0.67707208884533, -0.015687459758462027, -0.13679182482424398, 0.31661088485229333, 0.38219921192012235, 1.2611455222174035, -0.020856111561143437, 0.4429807482001637, 0.7181787951786809]"
136,Books,12.34,3.16,0.075,Standard,None,"[0.4815335395143825, 2.6132810221763285, 0.6525097333974047, -0.6786761866809701, 0.2869510323844013, -0.1729391322053214, 0.09313766274452583, -0.777219077067954, -0.1902444933983697, 0.976901732424442, -1.925971782859349, -0.3659557852192974, 0.6387589658053443, -1.0878584215320681, 0.4003531792460131, 0.4690354656719694, -0.15315382577868056, 0.3012477867426334, 1.6286438846731404, -0.6723614060121872]"
137,Sports,4.61,3.53,0.042,Premium,Summer,"[-0.4780865301973929, -0.5740647135680381, -1.8364888385704266, 1.3772639038132337, 0.7001255926315477, 0.5422593912485507, -0.03496069615338034, 1.289593619624759, -0.7922540927747564, 0.0612527103403872, -1.69842690923735, -1.9385268369397537, 0.5963335838654739, -1.785025839069702, -0.22821753443453083, 1.0112954479729197, 0.7466848560946794, -0.6645854879485937, -1.5885031364081725, 0.5094948616555286]"
138,Home & Garden,56.57,4.59,0.164,Standard,Winter,"[0.7837775609418405, -0.8189162257267606, -1.0147431922559524, 2.4517790899547, -1.152958327222014, -0.8130773379721395, -0.48984600383313015, 0.28043211006144775, 0.5835207318720798, -0.7100170331008595, -1.296708570186106, 0.8162628014724894, 0.6756187426079024, 0.4693898328861845, 0.3752755881887358, -0.397280701251242, -0.1776101209156868, 0.07584540003641482, -0.8429185154143444, 0.3834531796349783]"
139,Electronics,24.97,4.06,0.211,Standard,Summer,"[0.6618011639451453, -0.5387732638157791, -0.8852572875607955, -0.7250044758094781, 0.509483294160168, 1.294237397528483, -1.2109071508200153, -0.8434152995883616, 0.03340782037497296, -1.1355401732097514, -0.42281213529379247, 1.2447625213365057, 0.7214579627868983, 0.8295318964498595, -0.9844975140430924, -1.7459165570503765, -0.4290255519602415, -2.3276066070091983, 0.45259612582547115, 0.7473710730767994]"
140,Books,2.69,3.47,0.251,Premium,Holiday,"[1.3624464238751592, 2.3482862476668185, 0.28332359253566647, -0.9365198458054912, 0.5795842217637382, -1.490082675576618, -0.6541843257603286, -1.9990878128978078, 1.5586265169628146, -0.23154949394529548, 2.1668840348163116, 0.802949926519495, 0.44809821335102445, -0.5862276942809993, -1.04635003568742, 0.5229715738969453, -0.07151400927298215, -1.339270315485301, -1.5168584165083185, -0.9587037291435838]"
141,Travel,182.59,5.0,0.266,Standard,None,"[-0.6089150579477841, -0.18785496862635717, -0.17354414185290448, 1.080141970107699, -0.5812638417572866, 0.1491623518582809, -1.4191266227672055, -0.8302246601280682, 0.7969799925500731, 0.7786494729083369, 0.9659525063692287, 1.139961145949, 1.2413702982244095, 1.5453204644024345, 0.7751827875109091, 0.42545683655139394, 0.6196319629408847, 0.07128556952650845, -0.37359604876801594, 0.7701077790474551]"
142,Sports,28.94,3.75,0.164,Standard,Holiday,"[-0.36159230006934645, 0.6600409565708283, -0.5540843202239443, -0.8685133873043879, 3.6737197674826465, -1.6116895845554704, 0.3605988992629755, 0.6903029280919347, 0.8217021225148194, -0.30338126813725386, -1.2482218897904178, 1.4995140293927778, -0.4455442533670452, 1.5299979810812656, 0.36807394657107784, -0.4839240117725786, 0.3934430472833983, 1.1508019570579198, 0.08208825049054352, -0.7375824425574512]"
143,Home & Garden,2.47,2.83,0.22,Standard,None,"[0.6811620645961635, 1.7946889471625493, -0.6123998596057125, 0.933346631081226, -0.1371005223902222, -0.1875038837287729, 0.9955185771629596, 0.05463944164503786, -0.7926228303711832, -1.318409450558049, 0.8656341848196735, 0.5995112411642496, 1.0605598780918188, -0.9681867507210938, 1.8384368995283291, -1.743694507057237, 0.7096010214014796, -1.9095827671969017, -0.7903313816984677, 1.561022930447959]"
144,Movies,16.97,4.24,0.328,Standard,None,"[-0.08781380865477309, 1.1595605501069055, 1.1524891164500897, 0.7580317870254484, -0.3338603259187658, -0.6659013201759213, 0.5055325551724277, 0.9143951955227455, 0.8686225484872216, 0.4927755543675142, -1.1085866705083027, -0.3370533874256054, -0.1194801408907421, -1.7669218861742957, 1.4288266024692198, -1.3517180170753589, -0.7796162312419074, -1.7718585405608491, -0.2035614268732913, -0.24853547315560065]"
145,Movies,19.69,3.46,0.043,Standard,Summer,"[-1.3216395709857278, 0.7155560556661156, -0.5846327504070791, 0.3240827464670778, -0.3027575437708092, 0.3406284208920477, 2.8912743434289974, 0.597468116659135, 0.008342529107693416, 0.0658290632826615, 0.21960074398390422, 1.105842296600126, -0.4896648728931758, -0.2587171331767934, -0.5074710480488397, 0.13729956810954286, 0.6366871289428547, 0.2996536572444504, -0.05767533118721418, 1.0727722554882326]"
146,Music,3.34,3.55,0.01,Premium,Summer,"[-1.3315423718081452, 0.42352784606205707, -0.9581443542621856, 0.28132687994837363, -0.12326691618069893, 1.183225359787827, 0.6954605834793397, 1.8858108922488321, -1.4283407575495208, 0.9446984637177005, -0.8073723439720433, 0.584017008458805, -0.6171670339377235, -0.29971175462368677, -0.20080549504325973, 1.3613433222769207, -0.09204414749678139, -0.3391773082823718, -0.08288919182234523, 1.8960832435518016]"
147,Music,12.94,2.33,0.22,Budget,None,"[0.031769712697634976, -0.4040026605932531, -1.6461780437171643, 0.013128618177702509, 2.2435203729965183, 2.229272954126752, -0.21859654631753653, -2.824373288829641, -1.106122433593503, -0.13301891577435737, 0.0931582623472575, 0.34311527970609357, 0.7680946961831208, -0.9056683356590169, 0.040089862110221745, -0.4963074772123244, -0.9383436399325162, -0.8718592203480735, 0.5408684452119157, -2.5642269231648243]"
148,Home & Garden,2.31,3.17,0.263,Standard,None,"[0.4412160049312346, -0.2519796678643627, 1.1112240144011083, 3.715076127453701, -0.27041987705742676, -0.6449679117649062, 1.3294317050943831, 0.4334274626469134, 0.02906011613592665, -1.1057819037845364, 1.4317016657169177, 0.09368482867352805, 0.00015979704103645734, 0.5416752541505211, 0.02189825347807906, 1.4746366451137134, 1.0118009824013872, -0.5613305507989192, 0.08690093223982506, -0.5854196608371978]"
149,Travel,195.52,4.94,0.087,Budget,None,"[-1.3491721041435163, -0.5790497264811371, -0.607262235373436, 0.017915077827127833, 0.12478226339264413, -0.4242912796324582, -0.6724595311842119, -0.02061352592390042, 1.4422966481699737, 0.5445440631486473, 1.1316858302507236, -1.6336642947203286, 0.3618339101777725, 1.049612794970177, -1.3235043526342511, 0.350760358110139, -1.0462495298810175, 1.170315725601516, -1.600081471014645, -0.8924730851638318]"
150,Clothing,12.64,3.38,0.069,Budget,Winter,"[0.10992627991129886, -1.0951749181354586, 0.7960596527588444, 0.7687504752515748, 0.17169993074183026, -0.28298407299093753, 1.1055609054890276, 0.96412603624642, 1.1054356778925822, -0.2420440299938676, -1.4143688108873977, 1.706499079163937, 0.5242087895059939, 0.5449332230776037, 0.6758690827947228, 2.763498545940325, -0.10044052777309889, 1.4364828242960275, -0.8526144979391138, 0.8152322426864979]"
151,Sports,109.92,4.66,0.062,Standard,Summer,"[-0.31562378300665983, -1.256269144910345, -1.3047937736208417, -0.8991960960480192, 3.1042145208197445, 0.5603619506667351, -0.5450275729224316, -0.011102590622834349, 1.4043055051659386, 1.9080108509791196, 0.25938433344280215, -2.6592811840473987, 0.2972870947599731, 0.9347481295413476, 0.22463231585607507, 0.7265149187347837, 0.35706537446038417, -1.2346454174818653, -0.8862384333634628, -0.3211521871301564]"
152,Clothing,32.17,4.24,0.171,Standard,Winter,"[0.009842972361976239, -0.14457836594464157, 2.192593171059932, 0.49044376240207893, -1.1908167133830003, -0.24587638255567731, 0.022084657147435193, 0.8022724734892378, -0.21358762457161445, -0.10215647629803966, 0.13743971571293204, 1.0492055438174832, -2.0515684268659005, 0.10604967555193191, 1.169348728716164, -0.8271861911211232, -0.752860741138354, 1.224222411573981, -0.34909019750383785, -0.31964168198286225]"
153,Travel,39.0,4.26,0.376,Budget,None,"[-0.45490066810513335, 0.427551801109357, -0.01286438196665133, 0.5463887643092598, 0.7801961311995445, 0.5780103551552566, -0.6673049378769047, 0.42460450844599607, -2.1195518356393817, 3.5339214444906837, 1.5310812266172202, 0.8894010298444365, 1.2459344583103642, -0.07416201288608566, -0.7504865750365622, -1.2539027591240839, 1.0081375994095685, -0.7506149240081764, -0.37376214996776835, 0.22413810153903438]"
154,Movies,7.12,2.59,0.147,Budget,None,"[0.12369569508961095, -0.6013298774177518, -1.7030154111321496, -0.4898990033891621, 0.807435790029284, -0.07881491676989408, 3.2438510096104602, 0.5025547429584104, -0.5279209398222526, 1.4690387156299618, -0.8690545317277285, -1.6751580566523092, 0.3440779983907016, -0.7838748212635207, -0.056676778757789974, -1.0719759253298915, 0.004540704911317819, 0.48479548209564505, 0.6325786660440008, -1.1382772511627042]"
155,Travel,7.63,3.35,0.336,Standard,Winter,"[0.37395276857885484, 1.2375007025379259, -0.3790559956788136, -0.29444828245302873, 0.1421549712629643, -0.0608029818409991, 0.7676713698411167, -0.21645383069223195, -1.0603398250581455, 3.3545328652753694, 1.915224504684222, -1.56753492869704, 0.4801822967083555, 0.7471381877884804, 0.24335654805771476, 1.5738820193963414, -1.341895479708069, -0.5637060877597598, 0.10681240053982811, 0.919871675484911]"
156,Home & Garden,49.43,4.1,0.264,Standard,None,"[-0.321169399043682, 0.004125093716180475, 0.11690053329630949, 1.7002786053889882, 1.3847103342804297, -1.2172471224257115, -0.4482826864121744, -0.8493378480651751, 1.0299214770121665, -1.0286139207653675, -1.8325822656977986, 0.4313851184005227, -0.13917179601910046, 1.040349620673238, 0.8123433957204345, -0.04248315886883168, -1.4431782691335713, -1.1981023187944242, -1.7731909121797624, -0.13826149395053267]"
157,Travel,15.3,3.95,0.07,Standard,None,"[-1.5647967808746726, 1.2572349606742776, 1.7428664700517604, -0.31670793232591443, -1.6598678502577902, 0.8403635995547787, -0.27596309645500083, 0.9430406415610397, 0.28107222501761947, 1.1165558942381502, 0.05824436065938095, 1.3083383670543278, -0.14915398896724377, -1.0348051634453777, -1.5886441685966566, -0.7721646868646517, -0.410136261770982, 0.819999135917259, -1.1208492678116218, 1.5537518857296357]"
158,Music,1.94,2.9,0.022,Standard,None,"[-1.7394928664515845, -0.20367863457235547, -0.5749088287057034, 2.078156617110029, -0.5357146329995497, 2.4408810113944757, 0.1455224922103618, 0.352750225258872, 0.429088403610932, 0.8813614866061223, 0.2664460756186423, 0.22489579488632003, 0.0584770684681394, -0.13841785233997445, -0.9117978816606773, -0.06086837742020141, 0.24126737526553343, 0.402164556572795, 0.1802847729902364, -0.2329550134485338]"
159,Sports,17.45,2.72,0.351,Standard,None,"[0.3911364947764302, 1.8948450455526915, -0.9461928026595009, -0.9540578704734843, 0.7762626346043446, -0.2255552926704215, -0.9826430454000722, -0.9611157780690142, 0.21017451745325122, -1.4445434257094563, 1.6223090328925918, -1.1757648683315356, 1.1314377449686899, 1.9729815705700908, 1.198087963489708, 1.0737884756291727, 0.7961604226379327, 0.21377154754883568, 1.178803712927434, -0.26058475381619634]"
160,Books,14.04,3.1,0.228,Standard,None,"[1.3658566253313404, 2.153585000034629, -0.5727126798313026, -0.6000071384546486, 1.1071603794356628, 1.1886901750625483, -0.42439523180951105, -0.3941123750491345, -0.2870543011179178, 2.21774535654848, 0.016962149554998737, 1.5710166564483963, 0.7320172648970423, -0.10486523106102547, -0.6473876570865835, 0.7791897214109057, -0.7861306361826071, -0.38651304521391355, 0.6588419843714824, -0.24058461846072685]"
161,Sports,12.45,3.86,0.148,Standard,None,"[-0.014829958409310555, 0.9630748550562012, -0.08446927875736032, -0.7171174447842135, 2.7182806461976767, -0.7690034197889674, -0.15763777184546204, 1.3483095839700427, 0.37526576067267187, -0.04615654896216766, -0.2758916570468219, 0.043826504844656534, 0.2660070625765487, -1.1255196313167182, 1.2082571406720397, -0.4581389059691063, -0.2045252836077054, 0.8136214210830589, -0.141472466070568, 0.8810264147358382]"
162,Electronics,21.15,4.08,0.161,Budget,None,"[3.0303283858413446, -1.7005110511049306, -0.6312032627404901, -0.13778882276705207, -1.1662590680845648, 0.27982240745458015, 0.7398604438950306, -0.7126243462999059, 0.46344956830458517, 0.8368480700298296, -1.935521081493392, 0.17424442691827774, 0.373308403561571, -0.9172104060466645, -1.1949309080159458, -0.6877714592414236, -0.1870577926427789, -0.7506639428212842, 0.5555706838115805, 0.42613572435817737]"
163,Travel,43.04,5.0,0.093,Standard,Summer,"[-0.2869175759376756, 1.154162780421457, 0.21914533865734734, -0.4600643894655564, 0.7349989987664513, -0.44185108950097624, 0.10528354744163662, -0.3817802326421663, 0.26663261246274955, 3.2420668589648343, -0.3494492331373076, -0.5013837093931583, -0.10613605837241423, -1.1789799438104607, 0.6641204834678983, 0.11651890357079941, -0.03538879411054802, 0.3286526124078189, -1.4739519250185793, 1.400652448813693]"
164,Books,3.52,3.74,0.02,Budget,Winter,"[0.0953905972425176, 2.443716819164036, -0.6590307026480996, 1.1956632738696098, 1.3561579008427909, -0.7272561961869696, -0.03200556604582684, -1.2331813058243257, -0.04764843230309214, -0.26761280428944023, 1.2524888019768563, 1.6008407333135044, -1.0636578380838764, 0.7691374147371076, 0.8796580723794442, -1.7478673672780605, 0.9650050713526389, -1.4781218903908417, -0.5112224206052018, -0.901010097134983]"
165,Movies,1.54,2.53,0.483,Standard,Holiday,"[-0.3451151409295554, 0.877909797753002, -1.2321984663131047, 0.25026173764547277, -0.9379224926030842, -1.688592200627407, 2.7845362375298337, 0.9085910951875514, 0.4572126362119861, -0.182967040566501, -1.2663586548464094, -1.1613468707172474, -0.9692799797387972, -0.2336732917249238, 1.0761787336049151, 1.0604042110786527, -1.648567599612877, -0.6932333367169472, -0.7201610195718389, -2.5315831285012456]"
166,Sports,32.54,3.59,0.05,Premium,Winter,"[-0.49544171155394207, 1.3944156701254897, -0.1470150566233853, 1.1312859666930632, 2.384280789328197, -0.9127870729919536, 0.008465501353239941, 1.5455265422591238, 1.015168619331557, 1.2025089970562104, 0.5048259796790453, -0.4772638556031463, 1.6400510401480142, 0.5594873854961444, 0.9309019699624608, 0.10853667395589868, -1.0333864744971126, 0.3949470748609232, 1.6939480823581259, 0.8082536586487585]"
167,Food,15.43,4.36,0.159,Premium,None,"[-1.077868092936311, -1.3313494413752138, -0.2197437480218142, -0.2959275402087635, -1.2606441159886557, 0.6460809376377294, 0.4833206786258894, 2.6957197008450766, -0.7680703554643681, -1.9835756781146474, 0.4673311296456491, -0.6641127146297134, -0.890668133245701, -1.2570530746434425, -0.2753225280871538, 1.577327297050473, -0.5054495213555146, -1.0898030441669337, 0.6519334010300283, 0.17281227977128397]"
168,Clothing,1.33,2.6,0.293,Standard,Summer,"[-0.40294306860950446, 0.06672645623483983, 1.131323084519027, -0.2306561688680487, 0.06183167201811978, -0.08490732353535393, 1.3422535263036104, -0.3301680625068308, -0.932086413557357, -0.8696110349031873, 0.6551002716225308, -1.4031384080889997, -0.2011861701509173, 1.327500245455421, 0.2925984457408303, -0.07460538911875449, -0.03591040363842985, -1.0295645922271728, -0.857134710434541, -0.19518167291457722]"
169,Electronics,46.6,4.01,0.235,Standard,Holiday,"[0.7352929559203769, 1.746119881447655, 0.5578395020187228, -1.0856709317139972, 0.15674622656739062, -1.639327917338103, -1.7144424755382626, 1.1962484362498762, -1.200092888427668, 0.7873383004385003, 1.1672561626565265, -0.9840270467258534, 2.0799762567951534, 0.0927209833242762, 0.04835780365576957, -0.9982162518546935, -0.9801387150125465, -2.1939530213398726, -0.7768539395014304, 1.1662624907249484]"
